"","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_HYPOXIA","HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_MITOTIC_SPINDLE","HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_TGF_BETA_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_DNA_REPAIR","HALLMARK_G2M_CHECKPOINT","HALLMARK_APOPTOSIS","HALLMARK_NOTCH_SIGNALING","HALLMARK_ADIPOGENESIS","HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_ANDROGEN_RESPONSE","HALLMARK_MYOGENESIS","HALLMARK_PROTEIN_SECRETION","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_SURFACE","HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_COMPLEMENT","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_MTORC1_SIGNALING","HALLMARK_E2F_TARGETS","HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V2","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_GLYCOLYSIS","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_P53_PATHWAY","HALLMARK_UV_RESPONSE_UP","HALLMARK_UV_RESPONSE_DN","HALLMARK_ANGIOGENESIS","HALLMARK_HEME_METABOLISM","HALLMARK_COAGULATION","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_BILE_ACID_METABOLISM","HALLMARK_PEROXISOME","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_SPERMATOGENESIS","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_DN","HALLMARK_PANCREAS_BETA_CELLS"
"87","TNFRSF9","PLAUR","Havenogene","ABL1","Havenogene","Havenogene","CD36","GTF2H1","TOP1","VDAC2","Havenogene","ADCY6","ABCA3","CISH","AKAP12","SGCA","SOD1","TXNIP","FPR1","CDH8","Havenogene","Havenogene","KYNU","SPCS3","DAPP1","RAB1A","ASF1B","TRA2B","Havenogene","HTRA1","FFAR2","CES1","SLC22A5","ATP6V1D","TPST1","Havenogene","PVT1","POLG2","CDC42BPA","Havenogene","SLC6A8","MEP1A","PTH1R","SLC35B2","TTR","IL2RA","MTNR1A","SCN1B","KRT13","Havenogene"
"88","SGK1","CAVIN3","Havenogene","TIAM1","Havenogene","Havenogene","Havenogene","HCLS1","PDS5B","TAP1","Havenogene","ELOVL6","FRK","GLA","SCD","BDKRB2","GLA","SLC25A28","HELZ2","ATP1A3","Havenogene","Havenogene","RASGRP1","H2AX","UBE2D3","EBP","POLA2","COX5A","Havenogene","FGF2","PROK2","SHMT2","PDHB","VDAC2","PGM2","Havenogene","ZFP36L1","IL6ST","CDK13","Havenogene","TFRC","GP1BA","ODC1","SLC23A1","ERCC3","NLRP3","RFC4","PTBP2","GP2","Havenogene"
"89","TNIP1","CCN5","Havenogene","KIF1B","Havenogene","Havenogene","Havenogene","APRT","SRSF1","PLAT","Havenogene","LTC4S","DHRS2","PTGES","PTK2B","COX7A1","ATP6V1B1","SELL","PSME2","EPB41L2","Havenogene","Havenogene","USP14","SLC1A4","CAB39","PNO1","TIMELESS","PA2G4","Havenogene","SNTB1","GNAI3","TMEM176B","TDO2","ACADM","GYS1","Havenogene","SDC1","HYAL2","SFMBT1","Havenogene","RCL1","APOA1","IGF1R","NUDT12","ATXN1","CCND3","DBF4","NAP1L2","CD207","Havenogene"
"90","NAMPT","LARGE1","Havenogene","ITSN1","Havenogene","Havenogene","Havenogene","ERCC8","STIL","IFNGR1","Havenogene","SPARCL1","AQP3","PERP","CDK6","COL4A2","STX12","TRAFD1","SERPING1","MYL9","Havenogene","Havenogene","LCP2","RPS14","AP2M1","PIK3R3","HELLS","PCBP1","Havenogene","GADD45A","TACR1","GSTT2","FASN","COX7A2L","TKTL1","Havenogene","WRAP73","FOSB","ADORA2B","Havenogene","TOP1","SERPINA1","PTCH1","ABCA1","SULT2B1","EIF3A","PRKAR2A","AKAP12","CCR8","Havenogene"
"91","FOSL2","NOCT","Havenogene","SHROOM1","Havenogene","Havenogene","Havenogene","IMPDH2","ABL1","APP","Havenogene","RMDN3","KCNK15","OPN3","ADRM1","PLXNB2","CD63","BATF2","CCL5","SPEG","Havenogene","Havenogene","GP1BA","NPM1","MAP3K7","ACTR3","UBE2S","HNRNPA1","Havenogene","MEST","SLC7A1","PLG","NBN","TIMM17A","TGFA","Havenogene","RAP2B","MGAT1","BHLHE40","Havenogene","EPOR","TF","ENO3","PAOX","CRABP2","SIT1","TTK","PLAT","ZBTB16","Havenogene"
"92","PNRC1","S100A4","Havenogene","NCK2","Havenogene","Havenogene","Havenogene","POLB","DTYMK","BRCA1","Havenogene","MTCH2","TGIF2","KRT13","H1-0","CTF1","TOM1L1","RIPK2","RNF31","ADRA1B","Havenogene","Havenogene","KIF2A","CNOT6","PRKAG1","LDLR","PRKDC","CCNA2","Havenogene","LRRC15","CDKN1A","HMOX1","PSME1","ATP6V1E1","CHST2","Havenogene","COQ8A","NKX2-5","COL3A1","Havenogene","TNRC6B","PEF1","CD81","SLC22A18","CRABP1","IFNAR2","DMC1","SCG3","PRKN","Havenogene"
"93","ID2","RRAGD","Havenogene","DLGAP5","Havenogene","Havenogene","Havenogene","SDCBP","CDC27","ROCK1","Havenogene","SOWAHC","FOXC1","HSPB8","HSD17B14","COL15A1","SSPN","CCRL2","SOD2","SYK","Havenogene","Havenogene","GNB4","CKS1B","CSNK2B","SLC2A3","RAN","PPIA","Havenogene","TNFRSF11B","CYBB","SPINT2","PPARA","NDUFA3","PHKA2","Havenogene","PLXNB2","PPAT","KCNMA1","Havenogene","ACSL6","GNG12","MAFF","DIO2","TOP2A","HDAC9","NCAPH","ANO1","CPA2","Havenogene"
"94","CD69","ZFP36","Havenogene","BCR","Havenogene","Havenogene","Havenogene","SF3A3","BARD1","PSEN1","Havenogene","SLC1A5","ELF3","UGDH","VAPA","KCNH2","ARFGAP3","NUB1","TRIM25","CADM2","Havenogene","Havenogene","LCK","PSAT1","PRKAA2","UBE2D3","USP1","EIF3J","Havenogene","CD59","TIMP1","ALDH3A1","NCAPH2","SLC25A6","STMN1","Havenogene","HEXIM1","FURIN","SYNE1","Havenogene","GAPVD1","SIRT2","EMP1","RBP1","SCGB1A1","CARTPT","PEBP1","IL1RL2","MEFV","Havenogene"
"95","IL7R","EGFR","Havenogene","RANBP9","Havenogene","Havenogene","Havenogene","DAD1","ATF5","DCN","Havenogene","CMPK1","REEP1","CLIC3","CCND1","AGRN","RAB9A","OGFR","LAP3","ALOX15B","Havenogene","Havenogene","OLR1","EIF4G1","ATF1","ELOVL5","SPAG5","ORC2","Havenogene","ACTA2","HBEGF","GSR","BPHL","IDH3G","GALE","Havenogene","PROCR","MRPL23","IGF1R","Havenogene","MGST3","COMP","CDKN1C","SLC23A2","ERCC1","TRAT1","CHRM4","CXCL10","CCNA1","Havenogene"
"96","EFNA1","EDN2","Havenogene","EPB41L2","Havenogene","Havenogene","Havenogene","UPF3B","CDC45","PSEN2","Havenogene","REEP6","PEX11A","KLK11","XRCC6","MYO1C","CTSC","MVB12A","PSMA3","CX3CL1","Havenogene","Havenogene","PREP","YWHAZ","SLC2A1","CACYBP","POLD3","PSMA2","Havenogene","EFEMP2","SCARF1","ABHD6","ODC1","ACADVL","MET","Havenogene","SPHK1","HTR7","CELF2","Havenogene","SLC30A10","HTRA1","CAPN3","ATXN1","DLG4","CCL22","TOPBP1","ATG10","SLC38A3","Havenogene"
"97","PHLDA2","IDS","Havenogene","SEPTIN9","Havenogene","Havenogene","Havenogene","GUK1","ODC1","SOD2","Havenogene","NDUFA5","PODXL","PLAC1","MYL12A","SIRT2","Havenogene","ELF1","RNF213","MYH10","Havenogene","Havenogene","MSRB1","SLC30A5","PIN1","EDEM1","DUT","SYNCRIP","Havenogene","MATN2","EBI3","XDH","CA6","ETFA","LCT","Havenogene","NOL8","CXCL2","MTA1","Havenogene","CAT","MAFF","IL1R2","GCLM","PABPC1","APBB1","SCG5","YRDC","KLK8","Havenogene"
"98","PFKFB3","CDKN1A","Havenogene","KATNA1","Havenogene","Havenogene","Havenogene","TP53","XPO1","BMF","Havenogene","FZD4","KLF4","ABHD2","UBE2I","SGCD","Havenogene","Havenogene","PELI1","DMP1","Havenogene","Havenogene","LTA4H","MTREX","TNFRSF1A","ATP6V1D","TACC3","HDAC2","Havenogene","PCOLCE2","NFKBIA","PPARD","DLD","TIMM9","IRS2","Havenogene","DEF6","KLHDC3","EFEMP1","Havenogene","BCAM","LRP1","SYT11","NEDD4","FABP6","FYB1","NEFH","HDAC9","CYP39A1","Havenogene"
"99","CCL5","RORA","Havenogene","TUBD1","Havenogene","Havenogene","Havenogene","ADRM1","SFPQ","EREG","Havenogene","DRAM2","BAG1","SCARB1","PTPN21","SORBS1","Havenogene","Havenogene","CFB","CDSN","Havenogene","Havenogene","ZFPM2","KIF5B","LCK","TES","KIF18B","LSM2","Havenogene","SERPINE2","SRI","ELOVL5","HCCS","IDH3A","POLR3K","Havenogene","SP1","PRPF3","LAMC1","Havenogene","HBZ","PF4","TTC39B","RXRG","ABCB9","IL1B","MAP7","PEG3","KCNQ2","Havenogene"
"100","YRDC","DUSP1","Havenogene","TPX2","Havenogene","Havenogene","Havenogene","SEC61A1","TMPO","KRT18","Havenogene","MGST3","CELSR1","DCXR","AKT1","VIPR1","Havenogene","Havenogene","CD86","MAPK13","Havenogene","Havenogene","LYN","DCP1A","RPS6KA3","TM7SF2","CDC25B","VBP1","Havenogene","GPC1","SLC7A2","CYP4F2","EPHX1","TIMM8B","B4GALT1","Havenogene","JAG2","DNAJB1","PHF3","Havenogene","ACKR1","CPQ","ANXA4","AR","CACNA1B","TIMP1","BUB1","SEMA3B","SLC30A3","Havenogene"
"101","IFNGR2","MIF","Havenogene","KIF3C","Havenogene","Havenogene","Havenogene","POLA2","PML","TGFB2","Havenogene","ATP1B3","PLAAT3","CCND1","PA2G4","FGF2","Havenogene","Havenogene","TXNIP","MYL12B","Havenogene","Havenogene","ACTN2","IFIT1","NGF","PSMA3","SRSF1","PSMA6","Havenogene","ABI3BP","CCL17","RETSAT","DLST","ATP6AP1","EFNA3","Havenogene","CCP110","AP2S1","SCAF8","Havenogene","PSMD9","MMP15","BATF","BMP6","SEMA3C","RPS19","SEPTIN4","TNNT2","CHST2","Havenogene"
"102","SQSTM1","PPP1R3C","Havenogene","SHROOM2","Havenogene","Havenogene","Havenogene","FEN1","BRCA2","RELA","Havenogene","RETN","SLC7A5","SFN","Havenogene","FKBP1B","Havenogene","Havenogene","HLA-DQA1","RAC2","Havenogene","Havenogene","SIRT6","IMP3","CXCR4","ITGB2","GINS3","CNBP","Havenogene","FUCA1","TLR3","CYFIP2","FMO1","TIMM13","LHX9","Havenogene","DRAM1","PSMC3","VAV2","Havenogene","ISCA1","RABIF","P4HA1","SERPINA6","VPS4B","JAK2","PGS1","LIF","ITIH3","Havenogene"
"103","BTG3","DPYSL4","Havenogene","TUBGCP6","Havenogene","Havenogene","Havenogene","ZNF707","CTCF","WEE1","Havenogene","STOM","MPPED2","ABCA3","Havenogene","TEAD4","Havenogene","Havenogene","GCH1","FBN1","Havenogene","Havenogene","APOC1","SPCS1","ACACA","AK4","NOLC1","CDK2","Havenogene","SLIT3","APLNR","PINK1","AOC3","UQCRQ","KDELR3","Havenogene","RPL18","TST","PIAS3","Havenogene","PDZK1IP1","HRG","GPR65","LIPE","CEL","KRT1","NPY5R","CFB","EGF","Havenogene"
"104","GADD45B","KDELR3","Havenogene","SPTAN1","Havenogene","Havenogene","Havenogene","NUDT9","KNL1","RARA","Havenogene","ESYT1","TIAM1","SULT2B1","Havenogene","CASQ1","Havenogene","Havenogene","PNP","DSC1","Havenogene","Havenogene","PRKCD","DNAJA4","SMAD2","SLC1A4","SLBP","TARDBP","Havenogene","LAMA1","OSMR","GCLC","UROD","ABCB7","TALDO1","Havenogene","CEBPA","SIGMAR1","ACVR2A","Havenogene","H4C3","C8G","SLC1A5","EFHC1","ESR2","WARS1","TSN","BTC","MSH5","Havenogene"
"105","KYNU","DTNA","Havenogene","PALLD","Havenogene","Havenogene","Havenogene","PDE6G","KMT5A","CD14","Havenogene","GHITM","CLDN7","CCNA1","Havenogene","KLF5","Havenogene","Havenogene","CCL7","CD34","Havenogene","Havenogene","ITGAM","VEGFA","PAK4","TOMM40","CHEK2","NOLC1","Havenogene","PMEPA1","IL10RA","ESR1","CPT1A","VDAC1","DPYSL4","Havenogene","KIF13B","GCH1","NRP1","Havenogene","ICAM4","APOC2","IGF2R","IDH2","Havenogene","IFNGR2","CDK1","PPP1R15A","TEX15","Havenogene"
"106","G0S2","ADORA2B","Havenogene","ARFIP2","Havenogene","Havenogene","Havenogene","TYMS","SLC38A1","CD69","Havenogene","DNAJC15","MYOF","STIL","Havenogene","PDLIM7","Havenogene","Havenogene","PTPN6","ICAM4","Havenogene","Havenogene","DGKH","SKIC3","Havenogene","SLC6A6","SPC25","GSPT1","Havenogene","COL8A2","PSEN1","PMM1","KMT5A","ATP5MG","VLDLR","Havenogene","MXD1","BTG2","MRPS31","Havenogene","MOCOS","SERPINB2","CKAP4","IDI1","Havenogene","CCR2","SHE","PTPRR","CLPS","Havenogene"
"107","BTG1","HS3ST1","Havenogene","KNTC1","Havenogene","Havenogene","Havenogene","BCAP31","TRA2B","PEA15","Havenogene","GADD45A","RBBP8","MICB","Havenogene","AK1","Havenogene","Havenogene","SPPL2A","MSN","Havenogene","Havenogene","LTF","TUBB2A","Havenogene","PPIA","BARD1","HNRNPA2B1","Havenogene","FBN2","GPR183","TDO2","UBE2L6","PHB2","CD44","Havenogene","TRAFD1","CEBPG","CCN1","Havenogene","ADD1","RAPGEF3","CCR4","CH25H","Havenogene","EREG","PARP2","CCL20","ENTPD7","Havenogene"
"108","MCL1","CAVIN1","Havenogene","HOOK3","Havenogene","Havenogene","Havenogene","DDB1","MYBL2","DNAJC3","Havenogene","VEGFB","OLFML3","ZFP36","Havenogene","TAGLN","Havenogene","Havenogene","IL4R","MAPK11","Havenogene","Havenogene","MAFF","FUS","Havenogene","ADD3","DCTPP1","ETF1","Havenogene","IGFBP2","ATP2B1","MT2A","MIF","DECR1","AGL","Havenogene","OSGIN1","TARS1","DAB2","Havenogene","FTCD","CPN1","CD44","ABCA5","Havenogene","MMP9","TNNI3","ARG1","CLSTN3","Havenogene"
"109","VEGFA","NR3C1","Havenogene","SUN2","Havenogene","Havenogene","Havenogene","NFX1","TROAP","CASP2","Havenogene","PFKL","GFRA1","CAV1","Havenogene","RIT1","Havenogene","Havenogene","PNPT1","ACTC1","Havenogene","Havenogene","KCNIP2","EXOSC10","Havenogene","ME1","SMC3","RPL6","Havenogene","PFN2","TNFRSF1B","ATP2A2","SUCLG2","SUCLA2","SOX9","Havenogene","ANKRA2","UROD","MAGI2","Havenogene","ADD2","ITGA2","P2RX4","SULT2B1","Havenogene","EGFR","PCSK1N","RETN","CYP11B2","Havenogene"
"110","MAP2K3","KLF6","Havenogene","MID1IP1","Havenogene","Havenogene","Havenogene","RAD52","TENT4A","CTH","Havenogene","COQ3","FARP1","NBL1","Havenogene","MEF2A","Havenogene","Havenogene","DHX58","TRAF1","Havenogene","Havenogene","PCLO","EEF2","Havenogene","CCNF","RNASEH2A","TOMM70","Havenogene","SDC4","BEST1","DDT","CPOX","GOT2","DDIT4","Havenogene","HBEGF","PARP2","ANXA4","Havenogene","BMP2K","RAC1","GATA1","SOAT2","Havenogene","IL16","IDE","KLF4","CLDN16","Havenogene"
"111","CDKN1A","GPC4","Havenogene","DLG1","Havenogene","Havenogene","Havenogene","ADCY6","CUL3","PLCB2","Havenogene","NABP1","SVIL","CD44","Havenogene","ANKRD2","Havenogene","Havenogene","BTG1","CRB3","Havenogene","Havenogene","DOCK10","EXOC2","Havenogene","SLC37A4","DEK","PTGES3","Havenogene","CD44","GPC3","FABP1","SMS","DLAT","IDUA","Havenogene","RAD51C","BTG3","COL1A1","Havenogene","BPGM","DPP4","KLF6","TFCP2L1","Havenogene","CFP","GPR182","MMD","HSD11B2","Havenogene"
"112","CCN1","CCN1","Havenogene","FLNA","Havenogene","Havenogene","Havenogene","ARL6IP1","MAPK14","BMP2","Havenogene","CYP4B1","TGM2","HR","Havenogene","AKT2","Havenogene","Havenogene","CASP8","ITGA2","Havenogene","Havenogene","SH2B3","PAIP1","Havenogene","ALDOA","CENPM","PSMA1","Havenogene","GADD45B","SCN1B","ACP2","CBR3","ATP6V1H","CASP6","Havenogene","ITGB4","DLG4","SCHIP1","Havenogene","CLCN3","WDR1","ARL4A","NR0B2","Havenogene","WAS","RAD17","PDCD1LG2","COQ8A","Havenogene"
"113","TANK","TNFAIP3","Havenogene","ARHGAP10","Havenogene","Havenogene","Havenogene","DGUOK","H2BC12","HMGB2","Havenogene","PPM1B","DEPTOR","HOMER2","Havenogene","LAMA2","Havenogene","Havenogene","IFI30","ITGA10","Havenogene","Havenogene","RABIF","BANF1","Havenogene","BTG2","RAD51C","PSMC6","Havenogene","CXCL8","ACVR1B","ABCD2","NTHL1","NDUFB2","GLCE","Havenogene","TRIB3","CHRNA5","DDAH1","Havenogene","E2F2","THBS1","HOPX","Havenogene","Havenogene","ITGAL","TLE4","H2BC3","HNF1A","Havenogene"
"114","IFIT2","CA12","Havenogene","CDC42BPA","Havenogene","Havenogene","Havenogene","POLL","MYC","PLPPR4","Havenogene","ARAF","CYP26B1","BTG3","Havenogene","DENND2B","Havenogene","Havenogene","CCL2","BAIAP2","Havenogene","Havenogene","SRC","Havenogene","Havenogene","UFM1","CBX5","CTPS1","Havenogene","GLIPR1","HPN","G6PC1","CIDEA","FDX1","COPB2","Havenogene","INHBB","NPTX2","PDGFRB","Havenogene","HAGH","FYN","GPR83","Havenogene","Havenogene","KLRD1","ACE","HOXD11","FGF22","Havenogene"
"115","IL18","HEXA","Havenogene","ARHGEF12","Havenogene","Havenogene","Havenogene","SMAD5","AMD1","H1-0","Havenogene","CAVIN1","PAPSS2","GAL","Havenogene","IFRD1","Havenogene","Havenogene","FGL2","ARHGEF6","Havenogene","Havenogene","HPCAL4","Havenogene","Havenogene","CCNG1","RFC1","HSPE1","Havenogene","ANPEP","SEMA4D","DDC","IDI1","HADHA","DSC2","Havenogene","VAMP8","ATP6V1C1","ATRX","Havenogene","KDM7A","PDGFB","ITGA6","Havenogene","Havenogene","RARS1","SIRT1","TRIB1","TFCP2L1","Havenogene"
"116","TUBB2A","BGN","Havenogene","MARCKS","Havenogene","Havenogene","Havenogene","MPG","CBX1","TGFBR3","Havenogene","COL4A1","SLC1A1","ETFB","Havenogene","NCAM1","Havenogene","Havenogene","CASP7","ACTG1","Havenogene","Havenogene","CD46","Havenogene","Havenogene","STC1","POLD2","FAM120A","Havenogene","P3H1","KLF6","ACOX3","AADAT","ATP6V1C1","HS6ST2","Havenogene","VWA5A","AQP3","KALRN","Havenogene","OPTN","SH2B2","CD48","Havenogene","Havenogene","TLR2","HTR5A","F2RL1","OXT","Havenogene"
"117","IRF1","PPP1R15A","Havenogene","NIN","Havenogene","Havenogene","Havenogene","DUT","CHMP1A","EBP","Havenogene","IMMT","DLC1","BAG1","Havenogene","SYNGR2","Havenogene","Havenogene","SECTM1","MVD","Havenogene","Havenogene","PRDM4","Havenogene","Havenogene","NMT1","DSCC1","PPM1G","Havenogene","VEGFC","CD48","SAR1B","REEP6","MAOB","CDK1","Havenogene","ABAT","PLCL1","TGFBR2","Havenogene","RAP1GAP","PECAM1","DRC1","Havenogene","Havenogene","CCND2","TALDO1","ANXA10","KCND1","Havenogene"
"118","FOS","PGM2","Havenogene","PCM1","Havenogene","Havenogene","Havenogene","POLA1","DKC1","TXNIP","Havenogene","DHRS7","JAK2","FRK","Havenogene","PICK1","Havenogene","Havenogene","IL15RA","PDZD3","Havenogene","Havenogene","GNAI3","Havenogene","Havenogene","PSMC6","ILF3","HNRNPD","Havenogene","MMP14","CXCR6","FBLN1","HSPH1","NDUFB4","PLOD1","Havenogene","CTSD","NUP58","PTGFR","Havenogene","CTNS","MMP7","SELP","Havenogene","Havenogene","IL2RG","NF2","TSPAN13","MACROH2A2","Havenogene"
"119","OLR1","PIM1","Havenogene","RALBP1","Havenogene","Havenogene","Havenogene","AGO4","YTHDC1","ANKH","Havenogene","COL15A1","AFF1","SLC16A1","Havenogene","COL6A3","Havenogene","Havenogene","CD40","ADAM9","Havenogene","Havenogene","C9","Havenogene","Havenogene","FDXR","DEPDC1","SERBP1","Havenogene","SGCD","SLC1A2","ADH5","APEX1","UQCR10","SDC2","Havenogene","PTPRE","TYRO3","ATP2C1","Havenogene","NFE2L1","DUSP6","GLIPR2","Havenogene","Havenogene","ETS1","CLVS1","MTMR10","NRIP2","Havenogene"
"120","RHOB","PRDX5","Havenogene","EZR","Havenogene","Havenogene","Havenogene","RALA","CCNT1","RHOT2","Havenogene","NMT1","KLK10","AFF1","Havenogene","CRAT","Havenogene","Havenogene","TRAFD1","PCDH1","Havenogene","Havenogene","PPP2CB","Havenogene","Havenogene","RRM2","DCK","CSTF2","Havenogene","PLOD1","GP1BA","CRP","NSDHL","ETFDH","GMPPB","Havenogene","HINT1","HMOX1","ARHGEF9","Havenogene","ELL2","CPB2","SMPDL3A","Havenogene","Havenogene","ITK","CNIH2","CFH","RGS11","Havenogene"
"121","AREG","NAGK","Havenogene","SSH2","Havenogene","Havenogene","Havenogene","ZWINT","TGFB1","CYLD","Havenogene","COQ5","P2RY2","TFAP2C","Havenogene","DMPK","Havenogene","Havenogene","HLA-DRB1","SLIT2","Havenogene","Havenogene","IRF2","Havenogene","Havenogene","DHCR24","CDKN2C","PRDX4","Havenogene","MATN3","TAPBP","ABCC2","ADIPOR2","GPX4","PAXIP1","Havenogene","ALOX15B","RPN1","NFKB1","Havenogene","SLC2A1","S100A13","PLSCR1","Havenogene","Havenogene","NCR1","GRM8","LAT2","CPEB3","Havenogene"
"122","NINJ1","CDKN1B","Havenogene","CDK1","Havenogene","Havenogene","Havenogene","BCAM","ATRX","GSTM1","Havenogene","LAMA4","BLVRB","IGSF1","Havenogene","MYH11","Havenogene","Havenogene","GBP6","KRT31","Havenogene","Havenogene","FYN","Havenogene","Havenogene","PSMC4","MYC","EIF4E","Havenogene","MYL9","RGS16","ETS2","ACSL4","PDHX","NSDHL","Havenogene","VDR","BTG1","MGLL","Havenogene","PIGQ","CFD","FURIN","Havenogene","Havenogene","MAP4K1","STRBP","ERO1A","TG","Havenogene"
"123","ZBTB10","BRS3","Havenogene","RAB3GAP1","Havenogene","Havenogene","Havenogene","TK2","LIG3","GSR","Havenogene","AGPAT3","CISH","HPRT1","Havenogene","MYH9","Havenogene","Havenogene","LCP2","SGCE","Havenogene","Havenogene","JAK2","Havenogene","Havenogene","CTH","TCF19","ODC1","Havenogene","SLC6A8","SLAMF1","NPC1","ACSS1","MFN2","RARS1","Havenogene","ELP1","FMO1","FBLN5","Havenogene","KLF3","DCT","SERPINB6","Havenogene","Havenogene","CCL19","ADCYAP1","RELN","PTPRJ","Havenogene"
"124","PLPP3","TKTL1","Havenogene","FARP1","Havenogene","Havenogene","Havenogene","CSTF3","NUP50","BGN","Havenogene","BAZ2A","GLA","CDC6","Havenogene","IGF1","Havenogene","Havenogene","HLA-G","GNAI1","Havenogene","Havenogene","PLA2G4A","Havenogene","Havenogene","PSME3","RAD1","USP1","Havenogene","CALU","LCK","CASP6","ENO3","AIFM1","SLC16A3","Havenogene","WWP1","ASNS","PDLIM5","Havenogene","EPB41","LEFTY2","TNFSF11","Havenogene","Havenogene","PSMB10","ALOX15","KCNN4","NUDT11","Havenogene"
"125","KLF4","MT1E","Havenogene","SYNPO","Havenogene","Havenogene","Havenogene","GTF2H5","SLC7A5","BCL2L1","Havenogene","IDH3A","ADD3","FARP1","Havenogene","CKB","Havenogene","Havenogene","MT2A","PIK3CB","Havenogene","Havenogene","PRCP","Havenogene","Havenogene","CFP","LBR","RPL22","Havenogene","PRRX1","HIF1A","BPHL","IDH3G","ACAA2","GLRX","Havenogene","NUPR1","DDX21","MAPK14","Havenogene","LAMP2","ANG","GPX4","Havenogene","Havenogene","RPL39","MEP1B","TMEM176A","FSHB","Havenogene"
"126","CXCL11","ATP7A","Havenogene","RHOF","Havenogene","Havenogene","Havenogene","HPRT1","RBL1","GNA15","Havenogene","LIFR","PDLIM3","AMFR","Havenogene","FST","Havenogene","Havenogene","RIPK1","NLGN2","Havenogene","Havenogene","USP8","Havenogene","Havenogene","POLR3G","NBN","HNRNPA3","Havenogene","TNFRSF12A","AHR","IL1R1","LGALS1","ETFB","SRD5A3","Havenogene","TCN2","KCNH2","SRI","Havenogene","TMEM9B","C1QA","LRRC8C","Havenogene","Havenogene","EIF3J","SCG3","MAP4K1","IDUA","Havenogene"
